Reputation	frequency
1	11871449
2	9
3	276475
4	21
5	38518
6	26
7	22818
8	55
9	71824
10	94
11	661619
12	267
13	195847
14	945
15	43713
16	20286
17	24995
18	1483
19	47989
20	520
21	293218
22	635
23	111706
24	2322
25	38303
26	32561
27	21937
28	3195
29	32493
30	1039
31	152305
32	1048
33	67004
34	2582
35	29456
36	23687
37	18307
38	3773
39	23866
40	1374
41	91298
42	1188
43	42820
44	2615
45	22092
46	16522
47	14845
48	3459
49	18164
50	1543
51	62082
52	1207
53	29637
54	2489
55	17169
56	12178
57	12552
58	3357
59	14680
60	1642
61	44953
62	1338
63	22077
64	2475
65	13602
66	9623
67	10216
68	3032
69	11954
70	1484
71	33729
72	1309
73	17009
74	2078
75	11066
76	7919
77	8419
78	2635
79	10216
80	1493
81	26514
82	1286
83	13586
84	1943
85	9051
86	6644
87	7332
88	2318
89	8741
90	1469
91	21020
92	1204
93	11306
94	1899
95	7881
96	5532
97	6546
98	2228
99	7800
100	1339
101	49419
102	1107
103	11997
104	1696
105	7250
106	4772
107	5820
108	1958
109	7157
110	1231
111	18264
112	1144
113	10139
114	1624
115	6315
116	4316
117	5208
118	1836
119	6363
120	1270
121	14886
122	1062
123	8326
124	1969
125	5679
126	4033
127	4812
128	1859
129	5608
130	1460
131	11851
132	1225
133	7042
134	1739
135	5037
136	3609
137	4254
138	1768
139	4890
140	1455
141	10107
142	1242
143	5950
144	1632
145	4499
146	3184
147	3941
148	1652
149	4409
150	1379
151	8598
152	1247
153	5212
154	1463
155	3996
156	2862
157	3451
158	1554
159	4004
160	1346
161	7465
162	1160
163	4604
164	1396
165	3607
166	2649
167	3021
168	1448
169	3624
170	1277
171	6695
172	1172
173	3991
174	1344
175	3283
176	2378
177	2972
178	1358
179	3317
180	1228
181	5780
182	1068
183	3723
184	1255
185	2926
186	2164
187	2586
188	1240
189	2944
190	1132
191	5201
192	1013
193	3405
194	1141
195	2656
196	1848
197	2255
198	1188
199	2625
200	503
201	2967
202	437
203	1680
204	502
205	1347
206	915
207	1170
208	556
209	1370
210	492
211	2808
212	431
213	1647
214	546
215	1342
216	915
217	1201
218	545
219	1406
220	547
221	2565
222	440
223	1619
224	498
225	1269
226	902
227	1163
228	502
229	1316
230	478
231	2371
232	429
233	1417
234	494
235	1223
236	828
237	1099
238	485
239	1209
240	470
241	2184
242	436
243	1369
244	465
245	1161
246	748
247	984
248	442
249	1166
250	486
251	2072
252	387
253	1220
254	441
255	1079
256	684
257	945
