elements   rm_map2 rm_apply_str_suffix     rm_map  rm_suffix       rm_re
4096    0.015625        0.046875        0.0625  0.03125 0.0625
8192    0.0625  0.078125        0.09375 0.0625  0.109375
16384   0.09375 0.109375        0.1875  0.125   0.21875
32768   0.203125        0.21875 0.375   0.265625        0.453125
65536   0.40625 0.40625 0.90625 0.625   0.984375
131072  0.78125 0.875   1.828125        1.21875 2.375
262144  1.765625        2.03125 4.125   2.71875 4.25
524288  3.390625        3.828125        8.03125 5.8125  8.71875
1048576 6.953125        7.921875        15.609375       11.671875       17.078125
2097152 14.765625       14.453125       31.96875        21.265625       35.734375
4194304 28.5625 30.3125 63.484375       42.265625       68.09375
